,0
590,MT1X
591,SRA1
592,LAMP1
593,ORMDL2
594,DTNBP1
595,LGALS3BP
596,BCL2L11
597,POP4
598,TRAPPC2L
599,BACH2
600,TGDS
601,ILF3
602,FYN
603,RFXANK
604,POLR2F
605,NDUFS6
606,SAMD1
607,EPRS
608,LUZP1
609,TLR5
610,BIN3-IT1
611,TRPV6
612,LRRFIP1
613,DDX27///SS18
614,SREK1
615,GLCCI1
616,SPEN
617,INO80
618,PPP3CC
619,JMJD1C
620,SF3B5
621,ARPP19
622,LSM12
623,TAOK1
624,SAFB2
625,MRPS11
626,C18orf21
627,PYCARD
628,FZR1
629,CTDP1
630,TRIM11
631,HHEX
632,NUDT21
633,ACTB
634,ATP5H
635,H2AFV
636,ALKBH7
637,PLEKHN1
638,ZNF585B
639,ROMO1
640,PTPRE
641,GGNBP2
642,CENPW
643,ELMSAN1
644,FOXO6
645,CCDC137
646,PHF11
647,TTF1
648,SERTAD3
649,SERPING1
650,PER1
651,ARID1B
652,TXN
653,RAD21
654,MTDH
655,VPS29
656,SP110
657,RCL1
658,RBM8A
659,RAB8B
660,ATN1
661,TBCB
662,PRPF39
663,POGZ
664,NPAT
665,ADPGK
666,DPP9
667,PMS2
668,ACAD10
669,PANK2
670,TCP11L2
671,TBCA
672,H2AFJ
673,RAB22A
674,EXOSC4
675,SLC3A1
676,PARD6A
677,HNRNPD
678,UBE2L3
679,SMARCD3
680,GALM
681,GLIPR2
682,BRAF
683,TTC19
684,ASAH1
685,CIR1
686,MR1
687,MAP4
688,GNG5
689,TTPAL
690,SNRNP40
691,CD74
692,NFX1
693,DDIT3
694,CDS2
695,PTMA
696,LMO2
697,CPSF4
698,SLIRP
699,SELL
700,APOBEC3G
701,MESP2
702,PSME2
703,HELQ
704,NOP2
705,FCGR1CP///FCGR1B///FCGR1A
706,ADNP
707,NCK1
708,AFF3
709,ZNF135
710,PRH2///PRH1
711,ZNF292
712,KLF6
713,FXR1
714,MINK1
715,SECTM1
716,SFT2D1
717,HTRA2
718,DHX36
719,AGPAT2
720,TTC1
721,SPATA13
722,CEACAM3
723,PSEN1
724,NEDD8
725,ATP6
726,ACTR2
727,DHRS7B
728,UGGT1
729,CYHR1
730,PEA15
731,CUL2
732,BAIAP2-AS1
733,ACAD8
734,SCAF11
735,LOC100507507
736,RPS2
737,FRMD8
738,TAF1
739,SBNO1
740,OAS2
741,CCDC18
742,THYN1
743,KIAA0355
744,NFATC3
745,ANXA8L1///ANXA8
746,USO1
747,BATF2
748,CDK12
749,MYADM
750,CCDC65
751,AHNAK
752,BUB3
753,TAGAP
754,TRIM4
755,DHX58
756,MAP2K6
757,CGB5///CGB3
758,RAB14
759,KIAA1958
760,BCL11B
761,MACF1
762,MIR142
763,ABCF2
764,PSMB10
765,SLC26A8
766,MIB1
767,ZMIZ1
768,PIK3CG
769,HK3
770,SRSF7
771,ADGRL1
772,JMJD6
773,SRP54
774,MT1H
775,TNPO2
776,PFDN2
777,CALM1
778,PQBP1
779,INTS6
780,NONO
781,RHOD
782,MCEMP1
783,TARBP1
784,BRD2
785,SEL1L
786,S100A4
787,TPR
788,TARP///TRGV5///TRGV3
789,LAMP3
790,LARP1
791,CD40
792,HECTD1
793,PTGFR
794,CKAP5
795,LOC100128653
796,APLP2
797,B3GNT7
798,SSBP2
799,CCL4
800,SET
801,KPNA1
802,ALDH6A1
803,SORT1
804,NXPE3
805,S100A8
806,LINC00936
807,ZNF217
808,NDC80
809,GGCX
810,THRIL///BRI3BP
811,REC8
812,MED28
813,VEGFA
814,VAPA
815,DDX28
816,TMEM248
817,USP25
818,RRP1
819,ALDH5A1
820,RAB5A
821,ZWINT
822,TBCE
823,RSPH9
824,RASSF1-AS1
825,TRIM25
826,CTR9
827,SLC11A2
828,PATL1
829,SEC23IP
830,CLCN7
831,TRIM14
832,LAIR1
833,PMS2P2
834,NAA15
835,STAM2
836,NOP10
837,HNRNPA0
838,CNST
839,ZNF609
840,FBXO8
841,SQRDL
842,THOC6
843,NUMA1
844,RSU1
845,CARD16
846,PSMD4
847,PUDP
848,APBB3
849,SRSF5
850,RAB8A
851,HSP90AB1
852,RPL28
853,HERC6
854,CSNK1G3
855,MRPL23
856,SDF2
857,MBP
858,ALPK1
859,HNMT
860,ARHGDIB
861,MED18
862,ZDHHC3
863,MRPS25
864,FUT8
865,KLHDC7B
866,RBM27
867,LOC340107
868,FAM131A
869,RBM5
870,USF3
871,MSI2
872,IFIH1
873,HNRNPH1
874,UBE2L6
875,ATP11B
876,PET100
877,C19orf66
878,RGP1
879,RBAKDN
880,HNRNPK
881,TMEM208
882,BPNT1
883,CXCL16
884,ZNF195
885,RAB6A
886,ABCA1
887,ELF3
888,ACTG1
889,ATL3
890,C17orf49
891,ABCB4///ABCB1
892,FBXO38
893,UBN2
894,BNIP2
895,CGGBP1
896,RBM41
897,TRIM23
898,ZNF532
899,LOC100129089///MBP
900,SMCHD1
901,SMARCD1
902,METTL9
903,LSM1
904,AGO2
905,FAM107B
906,CHD2
907,GLA
908,SRSF2
909,ACSL1
910,RBM14-RBM4///RBM4
911,HDAC4
912,CXCR4
913,CHMP4A///TM9SF1
914,MRPL41
915,ZMYND11
916,VCP
917,TSPYL1
918,ZNF254
919,DDX17
920,DNAJC2
921,FCMR
922,RAB3D
923,AK2
924,EEF2
925,RAI1
926,ZPR1
927,LSM7
928,ITGB1
929,RABGGTB
930,GNG2
931,TMEM184A
932,WAPL
933,MORN1
934,FFAR2
935,TRAPPC9
936,RIPK2
937,TOR1AIP2
938,PTPN11
939,SYNCRIP
940,MFSD11
941,ZAN
942,CYBB
943,NPDC1
944,GBP2
945,UQCR10
946,ITPR1
947,TM2D1
948,TOP1
949,CNPY2
950,NAP1L4
951,NOL12
952,TMEM184B
953,PRKCE
954,LINC01585
955,NDUFB7
956,PCM1
957,TCEB3
958,SAMHD1
959,PACS1
960,MYL12B///MYL12A
961,FBXW2
962,RPS19
963,CASP5
964,ATG16L1
965,MRPL36
966,COLCA1
967,MGST3
968,COPS9
969,ZFAND2A
970,TNRC6C
971,CARD16///CASP1
972,WASF2
973,GS1-124K5.11
974,HNRNPR
975,FCER1G
976,RAB3A
977,LOC727820
978,GPSM2
979,KLHL9
980,ZNF148
981,DNAJC13
982,PDCL3P4///PDCL3
983,ACAA1
984,PGS1
985,LRPAP1
986,PPM1A
987,RER1
988,ECRP
989,UBE2Q1
990,ARPC4
991,RNF213
992,SESN3
993,SYNGR1
994,ARPC2
995,PTPRC
996,TDH
997,MAFG
998,HIST2H2AA4///HIST2H2AA3
999,YWHAB
